집계일자,영업소코드,영업소명,입출구구분코드,입출구명,TCS하이패스구분코드,TCS하이패스명,고속도로운영기관구분코드,고속도로운영기관명,영업형태구분코드,영업형태명,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
"2023-07-01","191 ","경기광주","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",927,34,46,25,27,13,1072
"2023-07-01","191 ","경기광주","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",11098,317,274,163,395,577,12824
"2023-07-01","191 ","경기광주","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",903,29,42,30,9,119,1132
"2023-07-01","191 ","경기광주","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",12002,327,265,118,460,584,13756
"2023-07-01","192 ","곤지암","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1059,41,118,105,16,7,1346
"2023-07-01","192 ","곤지암","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",12813,545,287,356,282,520,14803
"2023-07-01","192 ","곤지암","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1181,36,126,97,19,132,1591
"2023-07-01","192 ","곤지암","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",14378,562,314,389,350,601,16594
"2023-07-01","062 ","구리남양주","0","입구","1","TCS","00","한국도로공사","1","개방식",6894,194,246,136,45,805,8320
"2023-07-01","062 ","구리남양주","0","입구","2","hi-pass","00","한국도로공사","1","개방식",83371,1442,1271,789,1054,3718,91645
"2023-07-01","062 ","구리남양주","1","출구","1","TCS","00","한국도로공사","1","개방식",6941,161,287,231,72,859,8551
"2023-07-01","062 ","구리남양주","1","출구","2","hi-pass","00","한국도로공사","1","개방식",90055,1550,1304,1102,1211,4095,99317
"2023-07-01","254 ","군자","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",3591,89,216,188,75,34,4193
"2023-07-01","254 ","군자","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",41493,757,705,592,1021,1979,46547
"2023-07-01","254 ","군자","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",3548,70,208,242,63,429,4560
"2023-07-01","254 ","군자","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",41516,743,655,635,1148,1985,46682
"2023-07-01","215 ","군포","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1006,21,43,17,8,11,1106
"2023-07-01","215 ","군포","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",13155,169,169,66,107,628,14294
"2023-07-01","215 ","군포","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1001,23,42,22,8,122,1218
"2023-07-01","215 ","군포","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",11309,197,171,66,104,567,12414
"2023-07-01","105 ","기흥","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1182,11,23,28,3,11,1258
"2023-07-01","105 ","기흥","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",16021,129,227,136,60,649,17222
"2023-07-01","105 ","기흥","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",948,11,18,14,1,105,1097
"2023-07-01","105 ","기흥","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",14444,125,245,73,104,572,15563
"2023-07-01","528 ","기흥동탄","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1295,12,30,12,13,20,1382
"2023-07-01","528 ","기흥동탄","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",17710,163,815,175,266,661,19790
"2023-07-01","528 ","기흥동탄","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1358,15,29,29,24,169,1624
"2023-07-01","528 ","기흥동탄","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",19463,176,819,178,313,787,21736
"2023-07-01","068 ","김포","0","입구","1","TCS","00","한국도로공사","1","개방식",7596,159,332,177,93,1004,9361
"2023-07-01","068 ","김포","0","입구","2","hi-pass","00","한국도로공사","1","개방식",77823,1237,867,692,1424,4053,86096
"2023-07-01","068 ","김포","1","출구","1","TCS","00","한국도로공사","1","개방식",8625,205,344,236,138,1059,10607
"2023-07-01","068 ","김포","1","출구","2","hi-pass","00","한국도로공사","1","개방식",83294,1307,921,742,1309,4276,91849
"2023-07-01","742 ","남사진위","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",507,7,97,73,6,7,697
"2023-07-01","742 ","남사진위","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",10391,202,256,383,157,329,11718
"2023-07-01","742 ","남사진위","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",600,8,62,76,23,69,838
"2023-07-01","742 ","남사진위","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",8394,166,241,421,296,300,9818
"2023-07-01","543 ","남안성","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",934,29,149,130,46,7,1295
"2023-07-01","543 ","남안성","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",11664,404,281,472,846,452,14119
"2023-07-01","543 ","남안성","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1119,26,144,118,66,127,1600
"2023-07-01","543 ","남안성","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",11064,341,253,442,794,444,13338
"2023-07-01","053 ","남인천","0","입구","1","TCS","00","한국도로공사","1","개방식",3264,45,88,54,43,425,3919
"2023-07-01","053 ","남인천","0","입구","2","hi-pass","00","한국도로공사","1","개방식",35640,386,390,193,458,1847,38914
"2023-07-01","053 ","남인천","1","출구","1","TCS","00","한국도로공사","1","개방식",3231,30,92,57,33,388,3831
"2023-07-01","053 ","남인천","1","출구","2","hi-pass","00","한국도로공사","1","개방식",35016,414,475,191,445,1776,38317
"2023-07-01","069 ","대왕판교","0","입구","1","TCS","00","한국도로공사","1","개방식",141,2,2,0,0,15,160
"2023-07-01","069 ","대왕판교","0","입구","2","hi-pass","00","한국도로공사","1","개방식",1497,11,6,0,0,57,1571
"2023-07-01","069 ","대왕판교","1","출구","1","TCS","00","한국도로공사","1","개방식",266,3,0,0,0,28,297
"2023-07-01","069 ","대왕판교","1","출구","2","hi-pass","00","한국도로공사","1","개방식",3293,30,6,0,0,97,3426
"2023-07-01","214 ","동군포","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",40,0,16,25,2,0,83
"2023-07-01","214 ","동군포","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",415,90,64,190,74,32,865
"2023-07-01","214 ","동군포","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",331,12,22,71,8,48,492
"2023-07-01","214 ","동군포","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",4876,162,99,182,200,214,5733
"2023-07-01","190 ","동서울","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",4725,139,349,158,38,46,5455
"2023-07-01","190 ","동서울","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",67013,1356,1487,709,1022,2243,73830
"2023-07-01","190 ","동서울","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",5036,106,218,238,41,510,6149
